Station_ID,Year, Month, MSL
8724580-Key West,1913,1,1.42
8724580-Key West,1913,2,1.472
8724580-Key West,1913,3,1.426
8724580-Key West,1913,4,1.484
8724580-Key West,1913,5,1.49
8724580-Key West,1913,6,1.524
8724580-Key West,1913,7,1.49
8724580-Key West,1913,8,1.576
8724580-Key West,1913,9,1.582
8724580-Key West,1913,10,1.585
8724580-Key West,1913,11,1.521
8724580-Key West,1913,12,1.478
8724580-Key West,1914,1,1.436
8724580-Key West,1914,2,1.393
8724580-Key West,1914,3,1.362
8724580-Key West,1914,4,1.423
8724580-Key West,1914,5,1.554
8724580-Key West,1914,6,1.512
8724580-Key West,1914,7,1.454
8724580-Key West,1914,8,1.579
8724580-Key West,1914,9,1.622
8724580-Key West,1914,10,1.542
8724580-Key West,1914,11,1.527
8724580-Key West,1914,12,1.524
8724580-Key West,1915,1,1.484
8724580-Key West,1915,2,1.469
8724580-Key West,1915,3,1.46
8724580-Key West,1915,4,1.448
8724580-Key West,1915,5,1.433
8724580-Key West,1915,6,1.469
8724580-Key West,1915,7,1.475
8724580-Key West,1915,8,1.509
8724580-Key West,1915,9,1.582
8724580-Key West,1915,10,1.582
8724580-Key West,1915,11,1.548
8724580-Key West,1915,12,1.448
8724580-Key West,1916,1,1.426
8724580-Key West,1916,2,1.454
8724580-Key West,1916,3,1.387
8724580-Key West,1916,4,1.436
8724580-Key West,1916,5,1.509
8724580-Key West,1916,6,1.445
8724580-Key West,1916,7,1.515
8724580-Key West,1916,8,1.53
8724580-Key West,1916,9,1.594
8724580-Key West,1916,10,1.679
8724580-Key West,1916,11,1.609
8724580-Key West,1916,12,1.487
8724580-Key West,1917,1,1.393
8724580-Key West,1917,2,1.414
8724580-Key West,1917,3,1.554
8724580-Key West,1917,4,1.539
8724580-Key West,1917,5,1.503
8724580-Key West,1917,6,1.475
8724580-Key West,1917,7,1.448
8724580-Key West,1917,8,1.454
8724580-Key West,1917,9,1.622
8724580-Key West,1917,10,1.686
8724580-Key West,1917,11,1.664
8724580-Key West,1917,12,1.554
8724580-Key West,1918,1,1.448
8724580-Key West,1918,2,1.369
8724580-Key West,1918,3,1.442
8724580-Key West,1918,4,1.518
8724580-Key West,1918,5,1.503
8724580-Key West,1918,6,1.481
8724580-Key West,1918,7,1.487
8724580-Key West,1918,8,1.521
8724580-Key West,1918,9,1.564
8724580-Key West,1918,10,1.542
8724580-Key West,1918,11,1.561
8724580-Key West,1918,12,1.524
8724580-Key West,1919,1,1.426
8724580-Key West,1919,2,1.387
8724580-Key West,1919,3,1.448
8724580-Key West,1919,4,1.423
8724580-Key West,1919,5,1.451
8724580-Key West,1919,6,1.497
8724580-Key West,1919,7,1.506
8724580-Key West,1919,8,1.518
8724580-Key West,1919,9,1.609
8724580-Key West,1919,10,1.628
8724580-Key West,1919,11,1.588
8724580-Key West,1919,12,1.49
8724580-Key West,1920,1,1.381
8724580-Key West,1920,2,1.439
8724580-Key West,1920,3,1.298
8724580-Key West,1920,4,1.408
8724580-Key West,1920,5,1.451
8724580-Key West,1920,6,1.5
8724580-Key West,1920,7,1.494
8724580-Key West,1920,8,1.5
8724580-Key West,1920,9,1.573
8724580-Key West,1920,10,1.588
8724580-Key West,1920,11,1.545
8724580-Key West,1920,12,1.484
8724580-Key West,1921,1,1.442
8724580-Key West,1921,2,1.426
8724580-Key West,1921,3,1.442
8724580-Key West,1921,4,1.497
8724580-Key West,1921,5,1.509
8724580-Key West,1921,6,1.561
8724580-Key West,1921,7,1.5
8724580-Key West,1921,8,1.518
8724580-Key West,1921,9,1.618
8724580-Key West,1921,10,1.658
8724580-Key West,1921,11,1.524
8724580-Key West,1921,12,1.484
8724580-Key West,1922,1,1.417
8724580-Key West,1922,2,1.466
8724580-Key West,1922,3,1.466
8724580-Key West,1922,4,1.454
8724580-Key West,1922,5,1.487
8724580-Key West,1922,6,1.503
8724580-Key West,1922,7,1.521
8724580-Key West,1922,8,1.542
8724580-Key West,1922,9,1.609
8724580-Key West,1922,10,1.609
8724580-Key West,1922,11,1.53
8724580-Key West,1922,12,1.426
8724580-Key West,1923,1,1.426
8724580-Key West,1923,2,1.411
8724580-Key West,1923,3,1.463
8724580-Key West,1923,4,1.487
8724580-Key West,1923,5,1.536
8724580-Key West,1923,6,1.49
8724580-Key West,1923,7,1.457
8724580-Key West,1923,8,1.457
8724580-Key West,1923,9,1.545
8724580-Key West,1923,10,1.57
8724580-Key West,1923,11,1.515
8724580-Key West,1923,12,1.405
8724580-Key West,1924,1,1.42
8724580-Key West,1924,2,1.439
8724580-Key West,1924,3,1.445
8724580-Key West,1924,4,1.369
8724580-Key West,1924,5,1.414
8724580-Key West,1924,6,1.466
8724580-Key West,1924,7,1.521
8724580-Key West,1924,8,1.567
8724580-Key West,1924,9,1.603
8724580-Key West,1924,10,1.625
8724580-Key West,1924,11,1.567
8724580-Key West,1924,12,1.369
8724580-Key West,1925,1,1.405
8724580-Key West,1925,2,1.451
8724580-Key West,1925,3,1.426
8724580-Key West,1925,4,1.372
8724580-Key West,1925,5,1.487
8724580-Key West,1925,6,1.466
8724580-Key West,1925,7,1.472
8724580-Key West,1925,8,1.548
8724580-Key West,1925,9,1.582
8724580-Key West,1925,10,1.567
8724580-Key West,1925,11,1.606
8724580-Key West,1926,1,1.39
8724580-Key West,1926,2,1.323
8724580-Key West,1926,3,1.341
8724580-Key West,1926,4,1.417
8724580-Key West,1926,5,1.439
8724580-Key West,1926,6,1.46
8724580-Key West,1926,7,1.466
8724580-Key West,1926,8,1.564
8724580-Key West,1926,9,1.618
8724580-Key West,1926,10,1.64
8724580-Key West,1926,11,1.545
8724580-Key West,1926,12,1.46
8724580-Key West,1927,1,1.451
8724580-Key West,1927,2,1.457
8724580-Key West,1927,3,1.466
8724580-Key West,1927,4,1.475
8724580-Key West,1927,5,1.469
8724580-Key West,1927,6,1.487
8724580-Key West,1927,7,1.457
8724580-Key West,1927,8,1.539
8724580-Key West,1927,9,1.536
8724580-Key West,1927,10,1.6
8724580-Key West,1927,11,1.597
8724580-Key West,1927,12,1.521
8724580-Key West,1928,1,1.411
8724580-Key West,1928,2,1.323
8724580-Key West,1928,3,1.393
8724580-Key West,1928,4,1.393
8724580-Key West,1928,5,1.469
8724580-Key West,1928,6,1.494
8724580-Key West,1928,7,1.506
8724580-Key West,1928,8,1.554
8724580-Key West,1928,9,1.591
8724580-Key West,1928,10,1.609
8724580-Key West,1928,11,1.579
8724580-Key West,1928,12,1.53
8724580-Key West,1929,1,1.405
8724580-Key West,1929,2,1.481
8724580-Key West,1929,3,1.433
8724580-Key West,1929,4,1.494
8724580-Key West,1929,5,1.481
8724580-Key West,1929,6,1.497
8724580-Key West,1929,7,1.548
8724580-Key West,1929,8,1.539
8724580-Key West,1929,9,1.579
8724580-Key West,1929,10,1.53
8724580-Key West,1929,11,1.518
8724580-Key West,1929,12,1.494
8724580-Key West,1930,1,1.506
8724580-Key West,1930,2,1.5
8724580-Key West,1930,3,1.463
8724580-Key West,1930,4,1.484
8724580-Key West,1930,5,1.494
8724580-Key West,1930,6,1.478
8724580-Key West,1930,7,1.487
8724580-Key West,1930,8,1.567
8724580-Key West,1930,9,1.542
8724580-Key West,1930,10,1.609
8724580-Key West,1930,11,1.524
8724580-Key West,1930,12,1.457
8724580-Key West,1931,1,1.369
8724580-Key West,1931,2,1.405
8724580-Key West,1931,3,1.466
8724580-Key West,1931,4,1.463
8724580-Key West,1931,5,1.378
8724580-Key West,1931,6,1.433
8724580-Key West,1931,7,1.457
8724580-Key West,1931,8,1.463
8724580-Key West,1931,9,1.554
8724580-Key West,1931,10,1.551
8724580-Key West,1931,11,1.545
8724580-Key West,1931,12,1.49
8724580-Key West,1932,1,1.469
8724580-Key West,1932,2,1.427
8724580-Key West,1932,3,1.42
8724580-Key West,1932,4,1.451
8724580-Key West,1932,5,1.481
8724580-Key West,1932,6,1.481
8724580-Key West,1932,7,1.497
8724580-Key West,1932,8,1.548
8724580-Key West,1932,9,1.603
8724580-Key West,1932,10,1.585
8724580-Key West,1932,11,1.597
8724580-Key West,1932,12,1.585
8724580-Key West,1933,1,1.484
8724580-Key West,1933,2,1.448
8724580-Key West,1933,3,1.414
8724580-Key West,1933,4,1.509
8724580-Key West,1933,5,1.536
8724580-Key West,1933,6,1.561
8724580-Key West,1933,7,1.53
8724580-Key West,1933,8,1.594
8724580-Key West,1933,9,1.634
8724580-Key West,1933,10,1.725
8724580-Key West,1933,11,1.625
8724580-Key West,1933,12,1.46
8724580-Key West,1934,1,1.451
8724580-Key West,1934,2,1.384
8724580-Key West,1934,3,1.414
8724580-Key West,1934,4,1.463
8724580-Key West,1934,5,1.445
8724580-Key West,1934,6,1.475
8724580-Key West,1934,7,1.472
8724580-Key West,1934,8,1.497
8724580-Key West,1934,9,1.609
8724580-Key West,1934,10,1.646
8724580-Key West,1934,11,1.573
8724580-Key West,1934,12,1.527
8724580-Key West,1935,1,1.524
8724580-Key West,1935,2,1.439
8724580-Key West,1935,3,1.466
8724580-Key West,1935,4,1.518
8724580-Key West,1935,5,1.469
8724580-Key West,1935,6,1.487
8724580-Key West,1935,7,1.512
8724580-Key West,1935,8,1.567
8724580-Key West,1935,9,1.554
8724580-Key West,1935,10,1.689
8724580-Key West,1935,11,1.628
8724580-Key West,1935,12,1.506
8724580-Key West,1936,1,1.475
8724580-Key West,1936,2,1.494
8724580-Key West,1936,3,1.439
8724580-Key West,1936,4,1.448
8724580-Key West,1936,5,1.585
8724580-Key West,1936,6,1.591
8724580-Key West,1936,7,1.548
8724580-Key West,1936,8,1.558
8724580-Key West,1936,9,1.64
8724580-Key West,1936,10,1.698
8724580-Key West,1936,11,1.615
8724580-Key West,1936,12,1.594
8724580-Key West,1937,1,1.536
8724580-Key West,1937,2,1.582
8724580-Key West,1937,3,1.469
8724580-Key West,1937,4,1.515
8724580-Key West,1937,5,1.588
8724580-Key West,1937,6,1.509
8724580-Key West,1937,7,1.576
8724580-Key West,1937,8,1.634
8724580-Key West,1937,9,1.658
8724580-Key West,1937,10,1.698
8724580-Key West,1937,11,1.612
8724580-Key West,1937,12,1.524
8724580-Key West,1938,1,1.475
8724580-Key West,1938,2,1.469
8724580-Key West,1938,3,1.448
8724580-Key West,1938,4,1.497
8724580-Key West,1938,5,1.521
8724580-Key West,1938,6,1.518
8724580-Key West,1938,7,1.494
8724580-Key West,1938,8,1.582
8724580-Key West,1938,9,1.582
8724580-Key West,1938,10,1.646
8724580-Key West,1938,11,1.649
8724580-Key West,1938,12,1.53
8724580-Key West,1939,1,1.481
8724580-Key West,1939,2,1.469
8724580-Key West,1939,3,1.478
8724580-Key West,1939,4,1.49
8724580-Key West,1939,5,1.524
8724580-Key West,1939,6,1.515
8724580-Key West,1939,7,1.518
8724580-Key West,1939,8,1.57
8724580-Key West,1939,9,1.622
8724580-Key West,1939,10,1.716
8724580-Key West,1939,11,1.64
8724580-Key West,1939,12,1.509
8724580-Key West,1940,1,1.43
8724580-Key West,1940,2,1.411
8724580-Key West,1940,3,1.426
8724580-Key West,1940,4,1.417
8724580-Key West,1940,5,1.49
8724580-Key West,1940,6,1.484
8724580-Key West,1940,7,1.506
8724580-Key West,1940,8,1.6
8724580-Key West,1940,9,1.652
8724580-Key West,1940,10,1.682
8724580-Key West,1940,11,1.548
8724580-Key West,1940,12,1.524
8724580-Key West,1941,1,1.527
8724580-Key West,1941,2,1.515
8724580-Key West,1941,3,1.423
8724580-Key West,1941,4,1.494
8724580-Key West,1941,5,1.527
8724580-Key West,1941,6,1.481
8724580-Key West,1941,7,1.472
8724580-Key West,1941,8,1.521
8724580-Key West,1941,9,1.649
8724580-Key West,1941,10,1.594
8724580-Key West,1941,11,1.594
8724580-Key West,1941,12,1.53
8724580-Key West,1942,1,1.487
8724580-Key West,1942,2,1.497
8724580-Key West,1942,3,1.457
8724580-Key West,1942,4,1.533
8724580-Key West,1942,5,1.53
8724580-Key West,1942,6,1.57
8724580-Key West,1942,7,1.594
8724580-Key West,1942,8,1.582
8724580-Key West,1942,9,1.658
8724580-Key West,1942,10,1.743
8724580-Key West,1942,11,1.698
8724580-Key West,1942,12,1.524
8724580-Key West,1943,1,1.466
8724580-Key West,1943,2,1.463
8724580-Key West,1943,3,1.539
8724580-Key West,1943,4,1.561
8724580-Key West,1943,5,1.558
8724580-Key West,1943,6,1.564
8724580-Key West,1943,7,1.5
8724580-Key West,1943,8,1.585
8724580-Key West,1943,9,1.716
8724580-Key West,1943,10,1.743
8724580-Key West,1943,11,1.6
8724580-Key West,1943,12,1.53
8724580-Key West,1944,1,1.475
8724580-Key West,1944,2,1.451
8724580-Key West,1944,3,1.506
8724580-Key West,1944,4,1.527
8724580-Key West,1944,5,1.548
8724580-Key West,1944,6,1.573
8724580-Key West,1944,7,1.567
8724580-Key West,1944,8,1.591
8724580-Key West,1944,9,1.667
8724580-Key West,1944,10,1.737
8724580-Key West,1944,11,1.661
8724580-Key West,1944,12,1.497
8724580-Key West,1945,1,1.481
8724580-Key West,1945,2,1.39
8724580-Key West,1945,3,1.445
8724580-Key West,1945,4,1.536
8724580-Key West,1945,5,1.554
8724580-Key West,1945,6,1.567
8724580-Key West,1945,7,1.561
8724580-Key West,1945,8,1.609
8724580-Key West,1945,9,1.64
8724580-Key West,1945,10,1.658
8724580-Key West,1945,11,1.57
8724580-Key West,1945,12,1.509
8724580-Key West,1946,1,1.46
8724580-Key West,1946,2,1.472
8724580-Key West,1946,3,1.49
8724580-Key West,1946,4,1.545
8724580-Key West,1946,5,1.512
8724580-Key West,1946,6,1.515
8724580-Key West,1946,7,1.554
8724580-Key West,1946,8,1.631
8724580-Key West,1946,9,1.704
8724580-Key West,1946,10,1.74
8724580-Key West,1946,11,1.719
8724580-Key West,1946,12,1.704
8724580-Key West,1947,1,1.564
8724580-Key West,1947,2,1.548
8724580-Key West,1947,3,1.515
8724580-Key West,1947,4,1.509
8724580-Key West,1947,5,1.609
8724580-Key West,1947,6,1.649
8724580-Key West,1947,7,1.57
8724580-Key West,1947,8,1.576
8724580-Key West,1947,9,1.652
8724580-Key West,1947,10,1.747
8724580-Key West,1947,11,1.783
8724580-Key West,1947,12,1.689
8724580-Key West,1948,1,1.573
8724580-Key West,1948,2,1.57
8724580-Key West,1948,3,1.612
8724580-Key West,1948,4,1.609
8724580-Key West,1948,5,1.64
8724580-Key West,1948,6,1.625
8724580-Key West,1948,7,1.655
8724580-Key West,1948,8,1.643
8724580-Key West,1948,9,1.725
8724580-Key West,1948,10,1.786
8724580-Key West,1948,11,1.679
8724580-Key West,1948,12,1.597
8724580-Key West,1949,1,1.503
8724580-Key West,1949,2,1.478
8724580-Key West,1949,3,1.497
8724580-Key West,1949,4,1.512
8724580-Key West,1949,5,1.561
8724580-Key West,1949,6,1.548
8724580-Key West,1949,7,1.615
8724580-Key West,1949,8,1.609
8724580-Key West,1949,9,1.676
8724580-Key West,1949,10,1.78
8724580-Key West,1949,11,1.609
8724580-Key West,1949,12,1.539
8724580-Key West,1950,1,1.551
8724580-Key West,1950,2,1.533
8724580-Key West,1950,3,1.509
8724580-Key West,1950,4,1.579
8724580-Key West,1950,5,1.533
8724580-Key West,1950,6,1.5
8724580-Key West,1950,7,1.53
8724580-Key West,1950,8,1.643
8724580-Key West,1950,9,1.679
8724580-Key West,1950,10,1.704
8724580-Key West,1950,11,1.585
8724580-Key West,1950,12,1.521
8724580-Key West,1951,1,1.484
8724580-Key West,1951,2,1.478
8724580-Key West,1951,3,1.494
8724580-Key West,1951,4,1.539
8724580-Key West,1951,5,1.524
8724580-Key West,1951,6,1.53
8724580-Key West,1951,7,1.551
8724580-Key West,1951,8,1.591
8724580-Key West,1951,9,1.634
8724580-Key West,1951,10,1.734
8724580-Key West,1951,11,1.64
8724580-Key West,1951,12,1.551
8724580-Key West,1952,1,1.509
8724580-Key West,1952,2,1.512
8724580-Key West,1952,3,1.542
8724580-Key West,1952,4,1.509
8724580-Key West,1952,5,1.588
8724580-Key West,1952,6,1.539
8724580-Key West,1952,7,1.576
8724580-Key West,1952,8,1.606
8724580-Key West,1952,9,1.692
8724580-Key West,1952,10,1.698
8724580-Key West,1952,11,1.612
8724580-Key West,1952,12,1.609
8724580-Key West,1953,9,1.682
8724580-Key West,1953,10,1.716
8724580-Key West,1953,11,1.649
8724580-Key West,1953,12,1.548
8724580-Key West,1954,1,1.503
8724580-Key West,1954,2,1.506
8724580-Key West,1954,3,1.494
8724580-Key West,1954,4,1.561
8724580-Key West,1954,5,1.622
8724580-Key West,1954,6,1.585
8724580-Key West,1954,7,1.554
8724580-Key West,1954,8,1.554
8724580-Key West,1954,9,1.686
8724580-Key West,1954,10,1.664
8724580-Key West,1954,11,1.634
8724580-Key West,1954,12,1.5
8724580-Key West,1955,1,1.539
8724580-Key West,1955,2,1.533
8724580-Key West,1955,3,1.46
8724580-Key West,1955,4,1.484
8724580-Key West,1955,5,1.585
8724580-Key West,1955,6,1.591
8724580-Key West,1955,7,1.609
8724580-Key West,1955,8,1.634
8724580-Key West,1955,9,1.704
8724580-Key West,1955,10,1.713
8724580-Key West,1955,11,1.573
8724580-Key West,1955,12,1.484
8724580-Key West,1956,1,1.524
8724580-Key West,1956,2,1.487
8724580-Key West,1956,3,1.49
8724580-Key West,1956,4,1.515
8724580-Key West,1956,5,1.551
8724580-Key West,1956,6,1.597
8724580-Key West,1956,7,1.554
8724580-Key West,1956,8,1.615
8724580-Key West,1956,9,1.667
8724580-Key West,1956,10,1.71
8724580-Key West,1956,11,1.695
8724580-Key West,1956,12,1.469
8724580-Key West,1957,1,1.423
8724580-Key West,1957,2,1.527
8724580-Key West,1957,3,1.521
8724580-Key West,1957,4,1.527
8724580-Key West,1957,5,1.612
8724580-Key West,1957,6,1.579
8724580-Key West,1957,7,1.609
8724580-Key West,1957,8,1.679
8724580-Key West,1957,9,1.664
8724580-Key West,1957,10,1.78
8724580-Key West,1957,11,1.686
8724580-Key West,1957,12,1.561
8724580-Key West,1958,1,1.551
8724580-Key West,1958,2,1.402
8724580-Key West,1958,3,1.5
8724580-Key West,1958,4,1.512
8724580-Key West,1958,5,1.524
8724580-Key West,1958,6,1.594
8724580-Key West,1958,7,1.561
8724580-Key West,1958,8,1.585
8724580-Key West,1958,9,1.707
8724580-Key West,1958,10,1.798
8724580-Key West,1958,11,1.658
8724580-Key West,1958,12,1.597
8724580-Key West,1959,1,1.542
8724580-Key West,1959,2,1.475
8724580-Key West,1959,3,1.5
8724580-Key West,1959,4,1.527
8724580-Key West,1959,5,1.591
8724580-Key West,1959,6,1.606
8724580-Key West,1959,7,1.582
8724580-Key West,1959,8,1.582
8724580-Key West,1959,9,1.64
8724580-Key West,1959,10,1.701
8724580-Key West,1959,11,1.701
8724580-Key West,1959,12,1.606
8724580-Key West,1960,1,1.576
8724580-Key West,1960,2,1.524
8724580-Key West,1960,3,1.503
8724580-Key West,1960,4,1.536
8724580-Key West,1960,5,1.57
8724580-Key West,1960,6,1.634
8724580-Key West,1960,7,1.637
8724580-Key West,1960,8,1.655
8724580-Key West,1960,9,1.67
8724580-Key West,1960,10,1.728
8724580-Key West,1960,11,1.652
8724580-Key West,1960,12,1.576
8724580-Key West,1961,1,1.478
8724580-Key West,1961,2,1.542
8724580-Key West,1961,3,1.612
8724580-Key West,1961,4,1.585
8724580-Key West,1961,5,1.567
8724580-Key West,1961,6,1.564
8724580-Key West,1961,7,1.564
8724580-Key West,1961,8,1.57
8724580-Key West,1961,9,1.606
8724580-Key West,1961,10,1.728
8724580-Key West,1961,11,1.704
8724580-Key West,1961,12,1.588
8724580-Key West,1962,1,1.49
8724580-Key West,1962,2,1.506
8724580-Key West,1962,3,1.649
8724580-Key West,1962,4,1.497
8724580-Key West,1962,5,1.603
8724580-Key West,1962,6,1.588
8724580-Key West,1962,7,1.606
8724580-Key West,1962,8,1.667
8724580-Key West,1962,9,1.698
8724580-Key West,1962,10,1.713
8724580-Key West,1962,11,1.649
8724580-Key West,1962,12,1.606
8724580-Key West,1963,1,1.558
8724580-Key West,1963,2,1.46
8724580-Key West,1963,3,1.466
8724580-Key West,1963,4,1.494
8724580-Key West,1963,5,1.554
8724580-Key West,1963,6,1.494
8724580-Key West,1963,7,1.594
8724580-Key West,1963,8,1.597
8724580-Key West,1963,9,1.716
8724580-Key West,1963,10,1.762
8724580-Key West,1963,11,1.661
8724580-Key West,1963,12,1.494
8724580-Key West,1964,1,1.423
8724580-Key West,1964,2,1.399
8724580-Key West,1964,3,1.442
8724580-Key West,1964,4,1.475
8724580-Key West,1964,5,1.564
8724580-Key West,1964,6,1.542
8724580-Key West,1964,7,1.509
8724580-Key West,1964,8,1.558
8724580-Key West,1964,9,1.637
8724580-Key West,1964,10,1.631
8724580-Key West,1964,11,1.609
8724580-Key West,1964,12,1.524
8724580-Key West,1965,1,1.524
8724580-Key West,1965,2,1.521
8724580-Key West,1965,3,1.46
8724580-Key West,1965,4,1.527
8724580-Key West,1965,5,1.53
8724580-Key West,1965,6,1.527
8724580-Key West,1965,7,1.542
8724580-Key West,1965,8,1.618
8724580-Key West,1965,9,1.707
8724580-Key West,1965,10,1.6
8724580-Key West,1965,11,1.682
8724580-Key West,1965,12,1.576
8724580-Key West,1966,1,1.615
8724580-Key West,1966,2,1.533
8724580-Key West,1966,3,1.533
8724580-Key West,1966,4,1.561
8724580-Key West,1966,5,1.597
8724580-Key West,1966,6,1.545
8724580-Key West,1966,7,1.594
8724580-Key West,1966,8,1.606
8724580-Key West,1966,9,1.655
8724580-Key West,1966,10,1.661
8724580-Key West,1966,11,1.661
8724580-Key West,1966,12,1.579
8724580-Key West,1967,1,1.527
8724580-Key West,1967,2,1.481
8724580-Key West,1967,3,1.515
8724580-Key West,1967,4,1.579
8724580-Key West,1967,5,1.542
8724580-Key West,1967,6,1.64
8724580-Key West,1967,7,1.606
8724580-Key West,1967,8,1.652
8724580-Key West,1967,9,1.658
8724580-Key West,1967,10,1.695
